,location_name,charge_point_operator,owner,full_address,region,island,is_open_24_hours,car_park_count,has_carpark_cost,max_time_limit,number_of_connectors,connectors_list,has_charging_cost,has_tourist_attraction,latitude,longitude,current_type,operative_status_connectors,inoperative_status_connectors,unknown_status_connectors,ac_type_1_tethered_connector,ac_type_2_socketed_connector,dc_type_1_tethered_connector,dc_type_2_tethered_connector,dc_type_1_ccs_connector,dc_type_2_ccs_connector,dc_type_2_socketed_connector,dc_chademo_connector,ac_type_2_tethered_connector,min_ac_type_1_tethered_power_kw,max_ac_type_1_tethered_power_kw,min_ac_type_2_socketed_power_kw,max_ac_type_2_socketed_power_kw,min_dc_type_1_ccs_power_kw,max_dc_type_1_ccs_power_kw,min_dc_type_2_ccs_power_kw,max_dc_type_2_ccs_power_kw,min_dc_type_1_tethered_power_kw,max_dc_type_1_tethered_power_kw,min_dc_type_2_tethered_power_kw,max_dc_type_2_tethered_power_kw,min_dc_type_2_socketed_power_kw,max_dc_type_2_socketed_power_kw,min_dc_chademo_power_kw,max_dc_chademo_power_kw,min_ac_type_2_tethered_power_kw,max_ac_type_2_tethered_power_kw,date_first_operational,operational_month,operational_year
0,Ormiston Town Centre,Plug and Save,Todd Property Ormiston Town Centre Limited,"240 Ormiston road, Flat Bush, Auckland, 2012, New Zealand",Auckland,North,True,14,False,Unlimited,14,"{AC, 32 kW, Type 2 Socketed, Status: Operative, Count:9},{AC, 32 kW, Type 1 Tethered, Status: Operative, Count:4},{AC, 25 kW, Type 2 Socketed, Status: Operative, Count:1}",False,False,-36.9648860428412,174.912617279983,AC,14,0,0,True,True,False,False,False,False,False,False,False,32,32,25,32,,,,,,,,,,,,,,,2021-03-25,3,2021
1,Waikato Innovation Park,Hikotron,Hikotron,"Waikato Innovation Park, 1 Melody Lane, Hamilton East, Hamilton 3216",Waikato,North,True,4,False,Unlimited,4,"{AC, 7 kW, Type 2 Socketed, Status: Operative, Count:4}",True,False,-37.7781574798876,175.30805906559,AC,4,0,0,False,True,False,False,False,False,False,False,False,,,7,7,,,,,,,,,,,,,,,2022-10-01,10,2022
2,Te Awamutu Events Centre,Hikotron,Hikotron,"Events Centre Car Park Mahoe Street, Te Awamutu 3800",Waikato,North,True,4,False,Unlimited,4,"{AC, 7 kW, Type 2 Socketed, Status: Operative, Count:4}",True,False,-38.0080929,175.3249891,AC,4,0,0,False,True,False,False,False,False,False,False,False,,,7,7,,,,,,,,,,,,,,,2022-05-10,5,2022
3,Hamilton Electric Vehicles,Hikotron,Hikotron,"Cnr West Street and, Lincoln Street, Frankton, Hamilton 3200",Waikato,North,True,2,False,Unlimited,2,"{AC, 7 kW, Type 2 Socketed, Status: Operative, Count:2}",True,False,-37.7881084019164,175.258355890002,AC,2,0,0,False,True,False,False,False,False,False,False,False,,,7,7,,,,,,,,,,,,,,,,,
4,Colonial City Motel,Hikotron,Hikotron,"2 Pembroke Lane, Hamilton Lake, Hamilton 3204",Waikato,North,True,2,False,Unlimited,2,"{AC, 7 kW, Type 2 Socketed, Status: Operative, Count:2}",True,False,-37.79317,175.280269,AC,2,0,0,False,True,False,False,False,False,False,False,False,,,7,7,,,,,,,,,,,,,,,2022-03-01,3,2022
5,Matangi Factory,Hikotron,Hikotron,"452 Tauwhare Road, Tamahere 3284",Waikato,North,True,2,False,Unlimited,2,"{AC, 7 kW, Type 2 Socketed, Status: Operative, Count:2}",True,False,-37.805253,175.39685,AC,2,0,0,False,True,False,False,False,False,False,False,False,,,7,7,,,,,,,,,,,,,,,2022-05-21,5,2022
6,Cambridge Duke St Carpark,Hikotron,Hikotron,"Duke Street Car Park 88 Alpha Street, Cambridge 3434",Waikato,North,True,4,False,Unlimited,4,"{AC, 7 kW, Type 2 Socketed, Status: Operative, Count:4}",True,False,-37.8940045,175.4714022,AC,4,0,0,False,True,False,False,False,False,False,False,False,,,7,7,,,,,,,,,,,,,,,2022-01-01,1,2022
7,Z Rolleston,Z Energy,Z Energy,"4 Brookside Road, Rolleston 7614, New Zealand",Canterbury,South,True,4,False,Unlimited,6,"{DC, 180 kW, Type 2 CCS, Status: Operative, Count:2},{DC, 50 kW, CHAdeMO, Status: Operative, Count:2},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:2}",True,False,-43.591442,172.3776,DC,6,0,0,False,False,False,False,False,True,False,True,False,,,,,,,180,50,,,,,,,50,50,,,2022-05-12,5,2022
8,Z Moorhouse,Z Energy,Z Energy,"40 Moorhouse Avenue, Half Moon Bay, Christchurch 8011, New Zealand",Canterbury,South,True,2,False,Unlimited,2,"{DC, 75 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 75 kW, CHAdeMO, Status: Operative, Count:1}",True,False,-43.540028,172.62218,DC,2,0,0,False,False,False,False,False,True,False,True,False,,,,,,,75,75,,,,,,,75,75,,,2022-11-23,11,2022
9,Z Botany Downs,Z Energy,Z Energy,"550 Te Irirangi Drive, Botany Downs, Auckland 2013, New Zealand",Auckland,North,True,2,False,Unlimited,2,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True,False,-36.93105,174.91133,DC,2,0,0,False,False,False,False,False,True,False,True,False,,,,,,,50,50,,,,,,,50,50,,,2022-12-08,12,2022
10,Z Turangi,Z Energy,Z Energy,"Cnr State Highway One and, Pihanga Rd, Turangi 3334, New Zealand",Waikato,North,True,2,False,Unlimited,2,"{DC, 75 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 75 kW, CHAdeMO, Status: Operative, Count:1}",True,False,-38.990505,175.81082,DC,2,0,0,False,False,False,False,False,True,False,True,False,,,,,,,75,75,,,,,,,75,75,,,2022-10-27,10,2022
11,Z Petone,Z Energy,Z Energy,"Cnr Jackson Street and Hutt Road, Petone, Wellington 5012, New Zealand",Wellington,North,True,2,False,Unlimited,2,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True,False,-41.222412,174.86925,DC,2,0,0,False,False,False,False,False,True,False,True,False,,,,,,,50,50,,,,,,,50,50,,,2022-12-01,12,2022
12,Z Beach Road,Z Energy,Z Energy,"150 Beach Road, Parnell, Auckland 1010, New Zealand",Auckland,North,True,2,False,Unlimited,2,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True,False,-36.849667,174.77455,DC,2,0,0,False,False,False,False,False,True,False,True,False,,,,,,,50,50,,,,,,,50,50,,,2022-10-28,10,2022
13,Z Vivian Street,Z Energy,Z Energy,"174 Vivian Street, Te Aro, Wellington 6011, New Zealand",Wellington,North,True,2,False,Unlimited,2,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True,False,-41.29433,174.77408,DC,2,0,0,False,False,False,False,False,True,False,True,False,,,,,,,50,50,,,,,,,50,50,,,2022-09-12,9,2022
14,Z Remutaka,Z Energy,Z Energy,"1193 Fergusson Drive, North, Upper Hutt 5018, New Zealand",Wellington,North,True,2,False,Unlimited,2,"{DC, 75 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 75 kW, CHAdeMO, Status: Operative, Count:1}",True,False,-41.1088938048998,175.09734600097,DC,2,0,0,False,False,False,False,False,True,False,True,False,,,,,,,75,75,,,,,,,75,75,,,2022-11-30,11,2022
15,Z Rotokauri,Z Energy,Z Energy,"387 Wairere Drive, Burbush, Hamilton 3288, New Zealand",Waikato,North,True,4,False,Unlimited,4,"{DC, 180 kW, Type 2 CCS, Status: Operative, Count:3},{DC, 180 kW, CHAdeMO, Status: Operative, Count:1}",True,False,-37.7542925259544,175.230640477867,DC,4,0,0,False,False,False,False,False,True,False,True,False,,,,,,,180,180,,,,,,,180,180,,,2022-12-06,12,2022
